Time,Tips,Hum%,TempC,voltMeasure(V),readVcc(mV),Event
2015-04-30T17:48:02,0,39.00,22.00,4.80,4850,Normal
2015-04-30T17:49:02,0,39.00,22.00,4.76,4850,Normal
2015-04-30T17:50:01,0,39.00,22.00,4.75,4850,Normal
2015-04-30T17:51:01,0,39.00,22.00,4.79,4850,Normal
2015-04-30T17:52:01,0,39.00,22.00,4.72,4850,Normal
2015-04-30T17:53:00,0,39.00,22.00,4.78,4850,Normal
2015-04-30T17:54:00,0,39.00,22.00,4.69,4850,Normal
2015-04-30T17:55:00,0,39.00,22.00,4.84,4850,Normal
2015-04-30T17:56:08,0,39.00,22.00,4.74,4850,Normal
2015-04-30T17:57:07,0,39.00,22.00,4.75,4850,Normal
2015-04-30T17:58:07,0,39.00,22.00,4.80,4850,Normal
2015-04-30T17:59:07,0,39.00,22.00,4.84,4850,Normal
2015-04-30T18:00:06,0,39.00,22.00,4.78,4850,Normal
2015-04-30T18:00:07,0,39.00,22.00,4.65,4850,Daily backup
2015-04-30T18:02:18,0,39.00,22.00,4.76,4850,Normal
2015-04-30T18:03:00,0,39.00,22.00,4.72,4850,Normal
2015-04-30T18:04:00,0,39.00,22.00,4.75,4850,Normal
2015-04-30T18:05:00,0,39.00,22.00,4.88,4850,Normal
2015-04-30T18:06:00,0,39.00,22.00,4.80,4850,Normal
2015-04-30T18:07:08,0,39.00,22.00,4.85,4850,Normal
2015-04-30T18:08:07,0,39.00,22.00,4.79,4850,Normal
2015-04-30T18:09:07,0,39.00,22.00,4.84,4850,Normal
2015-04-30T18:10:07,0,39.00,22.00,4.82,4850,Normal
2015-04-30T18:11:06,0,39.00,22.00,4.75,4850,Normal
2015-04-30T18:12:06,0,39.00,22.00,4.84,4850,Normal
2015-04-30T18:13:06,0,39.00,22.00,4.81,4850,Normal
2015-04-30T18:14:05,0,39.00,22.00,4.82,4850,Normal
2015-04-30T18:15:05,0,39.00,22.00,4.90,4850,Normal
2015-04-30T18:16:05,0,39.00,22.00,4.82,4850,Normal
2015-04-30T18:17:04,0,39.00,22.00,4.81,4850,Normal
2015-04-30T18:18:04,0,39.00,22.00,4.76,4850,Normal
2015-04-30T18:19:04,0,39.00,22.00,4.87,4850,Normal
2015-04-30T18:20:03,0,39.00,22.00,4.76,4850,Normal
2015-04-30T18:21:03,0,39.00,22.00,4.84,4850,Normal
2015-04-30T18:22:03,0,39.00,22.00,4.79,4850,Normal
2015-04-30T18:23:02,0,39.00,22.00,4.80,4850,Normal
2015-04-30T18:24:02,0,39.00,22.00,4.74,4850,Normal
2015-04-30T18:25:02,0,39.00,22.00,4.82,4850,Normal
2015-04-30T18:26:01,0,39.00,22.00,4.81,4829,Normal
2015-04-30T18:27:01,0,39.00,22.00,4.81,4850,Normal
2015-04-30T18:28:01,0,39.00,22.00,4.78,4850,Normal
